what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1315711463703
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1315711463718
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1315711463726
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1315711463726
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1315711463731
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1315711463742
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1315711463758
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1315711463768
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1315711463775
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1315711463786
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1315711463794
os,sysinfo,,,"macosx",1315711463797
arch,sysinfo,,,"x86_64",1315711463797
ws,sysinfo,,,"cocoa",1315711463797
locale,sysinfo,,,"en_US",1315711463797
processors,sysinfo,,,"8",1315711463797
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1315711463797
java.runtime.version,sysinfo,,,"1.6.0_26-b03-383-11A511",1315711463797
java.specification.name,sysinfo,,,"Java Platform API Specification",1315711463797
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315711463797
java.specification.version,sysinfo,,,"1.6",1315711463797
java.vendor,sysinfo,,,"Apple Inc.",1315711463797
java.version,sysinfo,,,"1.6.0_26",1315711463797
java.vm.info,sysinfo,,,"mixed mode",1315711463797
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1315711463797
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1315711463797
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1315711463797
java.vm.specification.version,sysinfo,,,"1.0",1315711463797
java.vm.vendor,sysinfo,,,"Apple Inc.",1315711463797
java.vm.version,sysinfo,,,"20.1-b02-383",1315711463797
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1315711473919
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1315711473938
closed,view,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.internal.introview",1315711473954
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1315711477183
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1315711477192
started,bundle,org.eclipse.jdt.launching.macosx,3.2.100.v20100505,"org.eclipse.jdt.launching.macosx",1315711477236
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315711478378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315711487259
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315711493236
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315711497265
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1315711497365
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1315711497828
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1315711497838
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1315711497969
